GOLDEN TICK: sum_pv=27558780228767740, sum_v=14017077, vwap=1966086098
GOLDEN TICK: sum_pv=27859054285084119, sum_v=14170110, vwap=1966043614
GOLDEN TICK: sum_pv=28115581696094143, sum_v=14300605, vwap=1966041415
GOLDEN TICK: sum_pv=27089395133784886, sum_v=13778657, vwap=1966040313
GOLDEN TICK: sum_pv=27082224349345018, sum_v=13775020, vwap=1966038840
GOLDEN TICK: sum_pv=26100961546531047, sum_v=13275931, vwap=1966036246
GOLDEN TICK: sum_pv=26834208389523895, sum_v=13648896, vwap=1966035083
GOLDEN TICK: sum_pv=26602342819697438, sum_v=13530965, vwap=1966034412
GOLDEN TICK: sum_pv=25926038384841306, sum_v=13186973, vwap=1966034084
GOLDEN TICK: sum_pv=25549649948425780, sum_v=12995536, vwap=1966032793
GOLDEN TICK: sum_pv=25966108981894210, sum_v=13207374, vwap=1966031171
GOLDEN TICK: sum_pv=25599270570764377, sum_v=13020800, vwap=1966029012
GOLDEN TICK: sum_pv=25930117755106662, sum_v=13189083, vwap=1966028855
GOLDEN TICK: sum_pv=26650927895250756, sum_v=13555717, vwap=1966028642
GOLDEN TICK: sum_pv=25965050373184190, sum_v=13206855, vwap=1966028276
GOLDEN TICK: sum_pv=27112533586635372, sum_v=13790505, vwap=1966029060
GOLDEN TICK: sum_pv=26965033806869186, sum_v=13715486, vwap=1966028313
GOLDEN TICK: sum_pv=27589926339348497, sum_v=14033335, vwap=1966027771
GOLDEN TICK: sum_pv=27387499846581645, sum_v=13930378, vwap=1966027041
GOLDEN TICK: sum_pv=27209925601878010, sum_v=13840057, vwap=1966026989
GOLDEN TICK: sum_pv=25925101673110956, sum_v=13186538, vwap=1966027904
GOLDEN TICK: sum_pv=26471578137560844, sum_v=13464496, vwap=1966028148
GOLDEN TICK: sum_pv=26836745627381291, sum_v=13650237, vwap=1966027815
GOLDEN TICK: sum_pv=27055472652921047, sum_v=13761491, vwap=1966027711
GOLDEN TICK: sum_pv=26948449084778773, sum_v=13707050, vwap=1966028363
GOLDEN TICK: sum_pv=26515301704634024, sum_v=13486731, vwap=1966028810
GOLDEN TICK: sum_pv=26201507397091724, sum_v=13327125, vwap=1966028486
GOLDEN TICK: sum_pv=26780426397158610, sum_v=13621591, vwap=1966027786
GOLDEN TICK: sum_pv=28091615667181631, sum_v=14288512, vwap=1966028069
GOLDEN TICK: sum_pv=28582987465640421, sum_v=14538447, vwap=1966027558
GOLDEN TICK: sum_pv=27888346723399202, sum_v=14185136, vwap=1966026037
GOLDEN TICK: sum_pv=28208606150336636, sum_v=14348045, vwap=1966024371
GOLDEN TICK: sum_pv=28855421299672268, sum_v=14677049, vwap=1966023367
GOLDEN TICK: sum_pv=29380972451263094, sum_v=14944370, vwap=1966022820
GOLDEN TICK: sum_pv=28877081206007828, sum_v=14688072, vwap=1966022579
GOLDEN TICK: sum_pv=28010226723264576, sum_v=14247159, vwap=1966021908
GOLDEN TICK: sum_pv=28265528230453808, sum_v=14377011, vwap=1966022578
GOLDEN TICK: sum_pv=28419444503651855, sum_v=14455294, vwap=1966023278
GOLDEN TICK: sum_pv=28465405480464765, sum_v=14478665, vwap=1966024179
GOLDEN TICK: sum_pv=27000384083573760, sum_v=13733494, vwap=1966024384
GOLDEN TICK: sum_pv=27816827236703279, sum_v=14148763, vwap=1966025385
GOLDEN TICK: sum_pv=26530306425237052, sum_v=13494380, vwap=1966026332
GOLDEN TICK: sum_pv=26283994273261510, sum_v=13369076, vwap=1966029235
GOLDEN TICK: sum_pv=25794786284450621, sum_v=13120243, vwap=1966029614
GOLDEN TICK: sum_pv=26066536000245823, sum_v=13258459, vwap=1966030592
GOLDEN TICK: sum_pv=26548818724641790, sum_v=13503760, vwap=1966031588
GOLDEN TICK: sum_pv=26077866634069668, sum_v=13264199, vwap=1966034031
GOLDEN TICK: sum_pv=26644207707871935, sum_v=13552230, vwap=1966038630
GOLDEN TICK: sum_pv=26170558155505360, sum_v=13311300, vwap=1966040743
GOLDEN TICK: sum_pv=25665609891181766, sum_v=13054444, vwap=1966043892
GOLDEN TICK: sum_pv=25926929031516489, sum_v=13187331, vwap=1966048249
GOLDEN TICK: sum_pv=24261627400384215, sum_v=12340272, vwap=1966052887
GOLDEN TICK: sum_pv=24949323388933653, sum_v=12690025, vwap=1966057859
GOLDEN TICK: sum_pv=24066146978937075, sum_v=12240790, vwap=1966061584
GOLDEN TICK: sum_pv=24786118094428508, sum_v=12606979, vwap=1966063249
GOLDEN TICK: sum_pv=24793008360948686, sum_v=12610466, vwap=1966065993
GOLDEN TICK: sum_pv=23585594154622513, sum_v=11996322, vwap=1966068779
GOLDEN TICK: sum_pv=24349671500610546, sum_v=12384937, vwap=1966071486
GOLDEN TICK: sum_pv=23479360043085231, sum_v=11942261, vwap=1966073262
GOLDEN TICK: sum_pv=23256954352948251, sum_v=11829133, vwap=1966074297
GOLDEN TICK: sum_pv=24152954575707286, sum_v=12284850, vwap=1966076474
GOLDEN TICK: sum_pv=24934577526994884, sum_v=12682398, vwap=1966077513
GOLDEN TICK: sum_pv=25839007981798899, sum_v=13142401, vwap=1966079712
GOLDEN TICK: sum_pv=27026693273189802, sum_v=13746478, vwap=1966081295
GOLDEN TICK: sum_pv=27757403285601741, sum_v=14118125, vwap=1966082839
GOLDEN TICK: sum_pv=27856445462031004, sum_v=14168489, vwap=1966084418
GOLDEN TICK: sum_pv=27264159659901826, sum_v=13867227, vwap=1966085913
GOLDEN TICK: sum_pv=25260820769647282, sum_v=12848273, vwap=1966086863
GOLDEN TICK: sum_pv=24872263113988379, sum_v=12650629, vwap=1966089046
GOLDEN TICK: sum_pv=24824601100267503, sum_v=12626375, vwap=1966090908
GOLDEN TICK: sum_pv=23379864919388265, sum_v=11891540, vwap=1966092273
GOLDEN TICK: sum_pv=24468642543805792, sum_v=12445306, vwap=1966094087
GOLDEN TICK: sum_pv=23924384173548364, sum_v=12168462, vwap=1966097619
GOLDEN TICK: sum_pv=24277378391214256, sum_v=12347991, vwap=1966099456
GOLDEN TICK: sum_pv=24193368253263711, sum_v=12305255, vwap=1966100519
GOLDEN TICK: sum_pv=25245432637927536, sum_v=12840350, vwap=1966101596
GOLDEN TICK: sum_pv=26298460594772310, sum_v=13375930, vwap=1966103335
GOLDEN TICK: sum_pv=25271776008450721, sum_v=12853719, vwap=1966106152
GOLDEN TICK: sum_pv=27019530910881098, sum_v=13742662, vwap=1966106050
GOLDEN TICK: sum_pv=27893726862605398, sum_v=14187298, vwap=1966105657
GOLDEN TICK: sum_pv=26947340722419894, sum_v=13705943, vwap=1966106288
GOLDEN TICK: sum_pv=26846727408877899, sum_v=13654766, vwap=1966106735
GOLDEN TICK: sum_pv=25598940918413807, sum_v=13020116, vwap=1966106977
GOLDEN TICK: sum_pv=25770600270433078, sum_v=13107437, vwap=1966105217
GOLDEN TICK: sum_pv=25359947608380175, sum_v=12898574, vwap=1966104749
GOLDEN TICK: sum_pv=24840963526821709, sum_v=12634609, vwap=1966104651
GOLDEN TICK: sum_pv=24467563623766213, sum_v=12444693, vwap=1966104236
GOLDEN TICK: sum_pv=24511282233094035, sum_v=12466929, vwap=1966104261
GOLDEN TICK: sum_pv=25477342418975994, sum_v=12958292, vwap=1966103435
GOLDEN TICK: sum_pv=26032281762191314, sum_v=13240548, vwap=1966103046
GOLDEN TICK: sum_pv=27016819189453800, sum_v=13741308, vwap=1966102440
GOLDEN TICK: sum_pv=27118511966315420, sum_v=13793036, vwap=1966101731
GOLDEN TICK: sum_pv=26249452360203416, sum_v=13351021, vwap=1966100746
GOLDEN TICK: sum_pv=26012758921775308, sum_v=13230638, vwap=1966100117
GOLDEN TICK: sum_pv=26219011060313606, sum_v=13335542, vwap=1966100145
GOLDEN TICK: sum_pv=24055386344473063, sum_v=12235081, vwap=1966099476
GOLDEN TICK: sum_pv=24145360286036686, sum_v=12280838, vwap=1966100382
GOLDEN TICK: sum_pv=24341614917392952, sum_v=12380650, vwap=1966101530
GOLDEN TICK: sum_pv=23361728706251026, sum_v=11882255, vwap=1966102284
GOLDEN TICK: sum_pv=22564803327901529, sum_v=11476920, vwap=1966102693
GOLDEN TICK: sum_pv=23431569279351819, sum_v=11917762, vwap=1966104817
GOLDEN TICK: sum_pv=22557533892919093, sum_v=11473205, vwap=1966105712
GOLDEN TICK: sum_pv=22927441559726761, sum_v=11661333, vwap=1966108125
GOLDEN TICK: sum_pv=23492479352539665, sum_v=11948694, vwap=1966112727
GOLDEN TICK: sum_pv=24031550372618944, sum_v=12222851, vwap=1966116609
GOLDEN TICK: sum_pv=24940245206125492, sum_v=12685017, vwap=1966118390
GOLDEN TICK: sum_pv=26090298033300858, sum_v=13269938, vwap=1966120567
GOLDEN TICK: sum_pv=26426985003461243, sum_v=13441177, vwap=1966121345
GOLDEN TICK: sum_pv=26227955283387381, sum_v=13339930, vwap=1966123906
GOLDEN TICK: sum_pv=25660901837289748, sum_v=13051506, vwap=1966125735
GOLDEN TICK: sum_pv=25981682932608668, sum_v=13214645, vwap=1966127953
GOLDEN TICK: sum_pv=25736276654944253, sum_v=13089812, vwap=1966130350
GOLDEN TICK: sum_pv=26038844693778475, sum_v=13243698, vwap=1966130962
GOLDEN TICK: sum_pv=26772339079031555, sum_v=13616755, vwap=1966132098
GOLDEN TICK: sum_pv=26924203119174137, sum_v=13693982, vwap=1966133964
GOLDEN TICK: sum_pv=27449963687142885, sum_v=13961388, vwap=1966134290
GOLDEN TICK: sum_pv=27404850349196121, sum_v=13938444, vwap=1966134121
GOLDEN TICK: sum_pv=27831569474672071, sum_v=14155480, vwap=1966133926
GOLDEN TICK: sum_pv=27706201182401045, sum_v=14091713, vwap=1966134364
GOLDEN TICK: sum_pv=27792007609085254, sum_v=14135355, vwap=1966134392
GOLDEN TICK: sum_pv=27477747009526570, sum_v=13975518, vwap=1966134422
GOLDEN TICK: sum_pv=29222156981498049, sum_v=14862758, vwap=1966132865
GOLDEN TICK: sum_pv=30085760055928801, sum_v=15302006, vwap=1966131764
GOLDEN TICK: sum_pv=30167921222872496, sum_v=15343806, vwap=1966130256
GOLDEN TICK: sum_pv=30436001216481093, sum_v=15480167, vwap=1966128738
GOLDEN TICK: sum_pv=30234180650046075, sum_v=15377524, vwap=1966128009
GOLDEN TICK: sum_pv=30135978378740284, sum_v=15327592, vwap=1966126080
GOLDEN TICK: sum_pv=31081482244611741, sum_v=15808495, vwap=1966125317
GOLDEN TICK: sum_pv=30287213359815623, sum_v=15404519, vwap=1966125223
GOLDEN TICK: sum_pv=29355619464698458, sum_v=14930700, vwap=1966124794
GOLDEN TICK: sum_pv=29468496355716370, sum_v=14988116, vwap=1966124118
GOLDEN TICK: sum_pv=30328413850989098, sum_v=15425490, vwap=1966123205
GOLDEN TICK: sum_pv=30626711289911652, sum_v=15577212, vwap=1966122775
GOLDEN TICK: sum_pv=29350787735278785, sum_v=14928268, vwap=1966121437
GOLDEN TICK: sum_pv=28894225577226525, sum_v=14696068, vwap=1966119480
GOLDEN TICK: sum_pv=30020329217568801, sum_v=15268834, vwap=1966117990
GOLDEN TICK: sum_pv=29626874539779725, sum_v=15068726, vwap=1966116746
GOLDEN TICK: sum_pv=28432017959078450, sum_v=14461010, vwap=1966115641
GOLDEN TICK: sum_pv=28496768264032375, sum_v=14493955, vwap=1966114029
GOLDEN TICK: sum_pv=29801404299034437, sum_v=15157526, vwap=1966112695
GOLDEN TICK: sum_pv=28397619731946309, sum_v=14443538, vwap=1966112439
GOLDEN TICK: sum_pv=28280547608928160, sum_v=14383998, vwap=1966111758
GOLDEN TICK: sum_pv=26284792500359768, sum_v=13368924, vwap=1966111296
GOLDEN TICK: sum_pv=25374114721918082, sum_v=12905748, vwap=1966109575
GOLDEN TICK: sum_pv=24070297100389646, sum_v=12242608, vwap=1966108618
GOLDEN TICK: sum_pv=23325190336908689, sum_v=11863640, vwap=1966107395
GOLDEN TICK: sum_pv=22496761989312567, sum_v=11442290, vwap=1966106608
GOLDEN TICK: sum_pv=22571762056531245, sum_v=11480452, vwap=1966103952
GOLDEN TICK: sum_pv=22974931719824361, sum_v=11685527, vwap=1966101462
GOLDEN TICK: sum_pv=24192067749717951, sum_v=12304593, vwap=1966100605
GOLDEN TICK: sum_pv=24342960334861197, sum_v=12381355, vwap=1966098244
GOLDEN TICK: sum_pv=23339592616419137, sum_v=11871039, vwap=1966095184
GOLDEN TICK: sum_pv=22717957815011546, sum_v=11554874, vwap=1966093080
GOLDEN TICK: sum_pv=22900531888448172, sum_v=11647738, vwap=1966092634
GOLDEN TICK: sum_pv=23123597017811972, sum_v=11761194, vwap=1966092644
GOLDEN TICK: sum_pv=22579788028514716, sum_v=11484605, vwap=1966091827
GOLDEN TICK: sum_pv=22068702394868960, sum_v=11224657, vwap=1966091471
GOLDEN TICK: sum_pv=22613107462125140, sum_v=11501547, vwap=1966092688
GOLDEN TICK: sum_pv=22493805781848489, sum_v=11440855, vwap=1966094822
GOLDEN TICK: sum_pv=22144009479602006, sum_v=11262924, vwap=1966097745
GOLDEN TICK: sum_pv=23705643713520516, sum_v=12057181, vwap=1966101671
GOLDEN TICK: sum_pv=23320498548480217, sum_v=11861267, vwap=1966105184
GOLDEN TICK: sum_pv=23460002753971094, sum_v=11932216, vwap=1966106107
GOLDEN TICK: sum_pv=24172805227766771, sum_v=12294741, vwap=1966109349
GOLDEN TICK: sum_pv=24320564926807635, sum_v=12369885, vwap=1966110835
GOLDEN TICK: sum_pv=25888641028645596, sum_v=13167419, vwap=1966113558
GOLDEN TICK: sum_pv=26150608796513987, sum_v=13300647, vwap=1966115542
GOLDEN TICK: sum_pv=25514926318465184, sum_v=12977306, vwap=1966118878
GOLDEN TICK: sum_pv=25272887171330520, sum_v=12854183, vwap=1966121625
GOLDEN TICK: sum_pv=25212475415634927, sum_v=12823440, vwap=1966124176
GOLDEN TICK: sum_pv=24804615513161905, sum_v=12615973, vwap=1966127821
GOLDEN TICK: sum_pv=25650313580996145, sum_v=13046079, vwap=1966132014
GOLDEN TICK: sum_pv=25905426761029140, sum_v=13175814, vwap=1966134825
GOLDEN TICK: sum_pv=26805812409341441, sum_v=13633747, vwap=1966136852
GOLDEN TICK: sum_pv=27022266800460711, sum_v=13743821, vwap=1966139314
GOLDEN TICK: sum_pv=28144178497478966, sum_v=14314417, vwap=1966142141
GOLDEN TICK: sum_pv=28669259206565772, sum_v=14581470, vwap=1966143276
GOLDEN TICK: sum_pv=29418450881489277, sum_v=14962516, vwap=1966143319
GOLDEN TICK: sum_pv=29197156367335207, sum_v=14849964, vwap=1966143242
GOLDEN TICK: sum_pv=28971350789852311, sum_v=14735126, vwap=1966142046
GOLDEN TICK: sum_pv=27765452220353065, sum_v=14121801, vwap=1966141019
GOLDEN TICK: sum_pv=27033491301965149, sum_v=13749531, vwap=1966139157
GOLDEN TICK: sum_pv=27871091230787796, sum_v=14175562, vwap=1966136596
GOLDEN TICK: sum_pv=27270047476154220, sum_v=13869883, vwap=1966133923
GOLDEN TICK: sum_pv=27104606021656355, sum_v=13785748, vwap=1966132416
GOLDEN TICK: sum_pv=25722155490156819, sum_v=13082625, vwap=1966131070
GOLDEN TICK: sum_pv=26180097409398516, sum_v=13315559, vwap=1966128302
GOLDEN TICK: sum_pv=27534399054857375, sum_v=14004401, vwap=1966124724
GOLDEN TICK: sum_pv=27718067611029046, sum_v=14097829, vwap=1966123125
GOLDEN TICK: sum_pv=28217685517683135, sum_v=14351952, vwap=1966121787
GOLDEN TICK: sum_pv=28158935876842831, sum_v=14322081, vwap=1966120417
GOLDEN TICK: sum_pv=27687811711252966, sum_v=14082482, vwap=1966117315
GOLDEN TICK: sum_pv=27477583197105553, sum_v=13975573, vwap=1966114963
GOLDEN TICK: sum_pv=27076183399614409, sum_v=13771435, vwap=1966111984
GOLDEN TICK: sum_pv=27311899304348996, sum_v=13891346, vwap=1966108921
GOLDEN TICK: sum_pv=25950108595161445, sum_v=13198742, vwap=1966104693
GOLDEN TICK: sum_pv=26359910121543396, sum_v=13407198, vwap=1966101352
GOLDEN TICK: sum_pv=25124222049067385, sum_v=12778715, vwap=1966099255
GOLDEN TICK: sum_pv=25664079737109993, sum_v=13053298, vwap=1966099275
GOLDEN TICK: sum_pv=25635314632391898, sum_v=13038664, vwap=1966099796
GOLDEN TICK: sum_pv=26126629467624146, sum_v=13288553, vwap=1966100407
GOLDEN TICK: sum_pv=25948610260340221, sum_v=13198008, vwap=1966100510
GOLDEN TICK: sum_pv=25887397406019797, sum_v=13166871, vwap=1966100936
GOLDEN TICK: sum_pv=25744044077270621, sum_v=13093955, vwap=1966101462
GOLDEN TICK: sum_pv=26631183562935820, sum_v=13545177, vwap=1966100816
GOLDEN TICK: sum_pv=26992658076801442, sum_v=13729031, vwap=1966100744
GOLDEN TICK: sum_pv=26431891309483089, sum_v=13443812, vwap=1966100932
GOLDEN TICK: sum_pv=26148675516340597, sum_v=13299764, vwap=1966100715
GOLDEN TICK: sum_pv=25745967694403407, sum_v=13094944, vwap=1966099869
GOLDEN TICK: sum_pv=25044449846291375, sum_v=12738147, vwap=1966098353
GOLDEN TICK: sum_pv=24957596053932183, sum_v=12693983, vwap=1966096539
GOLDEN TICK: sum_pv=24780000291683284, sum_v=12603668, vwap=1966094337
GOLDEN TICK: sum_pv=24304992570001305, sum_v=12362070, vwap=1966094074
GOLDEN TICK: sum_pv=24090117812645113, sum_v=12252782, vwap=1966093725
GOLDEN TICK: sum_pv=24034436277607396, sum_v=12224470, vwap=1966092295
GOLDEN TICK: sum_pv=23976900671865300, sum_v=12195215, vwap=1966090853
GOLDEN TICK: sum_pv=23202963906280107, sum_v=11801580, vwap=1966089617
GOLDEN TICK: sum_pv=23447390254754379, sum_v=11925908, vwap=1966088473
GOLDEN TICK: sum_pv=23276268699603323, sum_v=11838882, vwap=1966086721
GOLDEN TICK: sum_pv=23911418775224220, sum_v=12161948, vwap=1966084608
GOLDEN TICK: sum_pv=24547314335597268, sum_v=12485387, vwap=1966083577
GOLDEN TICK: sum_pv=24933980539162144, sum_v=12682055, vwap=1966083614
GOLDEN TICK: sum_pv=24611489012227358, sum_v=12518025, vwap=1966084027
GOLDEN TICK: sum_pv=24926189479730182, sum_v=12678078, vwap=1966085827
GOLDEN TICK: sum_pv=24572159147376311, sum_v=12498004, vwap=1966086676
GOLDEN TICK: sum_pv=24073254167541365, sum_v=12244249, vwap=1966086622
GOLDEN TICK: sum_pv=24377374063272669, sum_v=12398927, vwap=1966087393
GOLDEN TICK: sum_pv=23301895716057837, sum_v=11851911, vwap=1966087639
GOLDEN TICK: sum_pv=22583813570683166, sum_v=11486672, vwap=1966088486
GOLDEN TICK: sum_pv=22664736858752923, sum_v=11527822, vwap=1966090113
GOLDEN TICK: sum_pv=22603692447483646, sum_v=11496763, vwap=1966091885
GOLDEN TICK: sum_pv=23134136854497218, sum_v=11766541, vwap=1966094951
GOLDEN TICK: sum_pv=24731601425583275, sum_v=12579043, vwap=1966095626
GOLDEN TICK: sum_pv=24845504547248951, sum_v=12636970, vwap=1966096662
GOLDEN TICK: sum_pv=23725918828424441, sum_v=12067515, vwap=1966098142
GOLDEN TICK: sum_pv=23432408273746603, sum_v=11918217, vwap=1966100153
GOLDEN TICK: sum_pv=24243019415182795, sum_v=12330491, vwap=1966103329
GOLDEN TICK: sum_pv=24618737178305489, sum_v=12521580, vwap=1966104691
GOLDEN TICK: sum_pv=24916797282040233, sum_v=12673172, vwap=1966105824
GOLDEN TICK: sum_pv=24252613377799740, sum_v=12335347, vwap=1966107104
GOLDEN TICK: sum_pv=23606293446208088, sum_v=12006612, vwap=1966107795
GOLDEN TICK: sum_pv=23347125192187660, sum_v=11874792, vwap=1966108138
GOLDEN TICK: sum_pv=22928125297070536, sum_v=11661683, vwap=1966107747
GOLDEN TICK: sum_pv=22154198090999828, sum_v=11268053, vwap=1966107018
GOLDEN TICK: sum_pv=22256517917732610, sum_v=11320095, vwap=1966106990
GOLDEN TICK: sum_pv=22395149736178784, sum_v=11390606, vwap=1966106960
GOLDEN TICK: sum_pv=22359812611703735, sum_v=11372629, vwap=1966107626
GOLDEN TICK: sum_pv=21771356004767785, sum_v=11073326, vwap=1966108105
GOLDEN TICK: sum_pv=22829889152805488, sum_v=11611711, vwap=1966108969
GOLDEN TICK: sum_pv=21713366557642451, sum_v=11043828, vwap=1966108722
GOLDEN TICK: sum_pv=21763077149649326, sum_v=11069106, vwap=1966109742
GOLDEN TICK: sum_pv=21988855672650850, sum_v=11183939, vwap=1966110122
GOLDEN TICK: sum_pv=21502125286103157, sum_v=10936370, vwap=1966111725
GOLDEN TICK: sum_pv=22468951353259325, sum_v=11428107, vwap=1966113141
GOLDEN TICK: sum_pv=23090700534712015, sum_v=11744331, vwap=1966114590
GOLDEN TICK: sum_pv=24741438166840725, sum_v=12583906, vwap=1966117528
GOLDEN TICK: sum_pv=24799073878242801, sum_v=12613214, vwap=1966118538
GOLDEN TICK: sum_pv=25067353103487419, sum_v=12749660, vwap=1966119339
GOLDEN TICK: sum_pv=25445763467126459, sum_v=12942120, vwap=1966120192
GOLDEN TICK: sum_pv=24449990037453723, sum_v=12435645, vwap=1966121583
GOLDEN TICK: sum_pv=24834155811639810, sum_v=12631041, vwap=1966121067
GOLDEN TICK: sum_pv=24693780457909498, sum_v=12559647, vwap=1966120581
GOLDEN TICK: sum_pv=25563155507101543, sum_v=13001830, vwap=1966119808
GOLDEN TICK: sum_pv=26817652444878689, sum_v=13639889, vwap=1966119551
GOLDEN TICK: sum_pv=26909101741470388, sum_v=13686401, vwap=1966119635
GOLDEN TICK: sum_pv=27715782369449744, sum_v=14096695, vwap=1966119176
GOLDEN TICK: sum_pv=27868339615383035, sum_v=14174291, vwap=1966118772
GOLDEN TICK: sum_pv=28857541080325110, sum_v=14677418, vwap=1966118364
GOLDEN TICK: sum_pv=28925160047891609, sum_v=14711812, vwap=1966118112
GOLDEN TICK: sum_pv=29967319718614045, sum_v=15241874, vwap=1966117796
GOLDEN TICK: sum_pv=29913696809086943, sum_v=15214611, vwap=1966116439
GOLDEN TICK: sum_pv=28089782891117783, sum_v=14286942, vwap=1966115834
GOLDEN TICK: sum_pv=26993919032396103, sum_v=13729572, vwap=1966115115
GOLDEN TICK: sum_pv=26135582428717848, sum_v=13293017, vwap=1966113669
GOLDEN TICK: sum_pv=27037781049977952, sum_v=13751900, vwap=1966112395
GOLDEN TICK: sum_pv=26128168293862796, sum_v=13289275, vwap=1966109384
GOLDEN TICK: sum_pv=24899509243282072, sum_v=12664363, vwap=1966108302
GOLDEN TICK: sum_pv=24711900762222914, sum_v=12568936, vwap=1966109204
GOLDEN TICK: sum_pv=24115646076699774, sum_v=12265661, vwap=1966110597
GOLDEN TICK: sum_pv=25868858878649159, sum_v=13157357, vwap=1966113625
GOLDEN TICK: sum_pv=25311594883122559, sum_v=12873907, vwap=1966116027
GOLDEN TICK: sum_pv=25576603671437637, sum_v=13008681, vwap=1966118138
GOLDEN TICK: sum_pv=26223690849427051, sum_v=13337777, vwap=1966121554
GOLDEN TICK: sum_pv=25803290670253072, sum_v=13123933, vwap=1966124840
GOLDEN TICK: sum_pv=25254338637850622, sum_v=12844709, vwap=1966127736
GOLDEN TICK: sum_pv=24704485766868833, sum_v=12565028, vwap=1966130578
GOLDEN TICK: sum_pv=25597282858339919, sum_v=13019086, vwap=1966135169
GOLDEN TICK: sum_pv=25276608018121760, sum_v=12855967, vwap=1966138215
GOLDEN TICK: sum_pv=25183866930758385, sum_v=12808775, vwap=1966141721
GOLDEN TICK: sum_pv=24913343261945017, sum_v=12671162, vwap=1966145114
GOLDEN TICK: sum_pv=24988691692255939, sum_v=12709455, vwap=1966149743
GOLDEN TICK: sum_pv=25665853148691907, sum_v=13053847, vwap=1966152441
GOLDEN TICK: sum_pv=26214052002634427, sum_v=13332650, vwap=1966154665
GOLDEN TICK: sum_pv=26927059686448894, sum_v=13695253, vwap=1966160076
GOLDEN TICK: sum_pv=26894920638985574, sum_v=13678863, vwap=1966166386
GOLDEN TICK: sum_pv=26264296966212360, sum_v=13358097, vwap=1966170553
GOLDEN TICK: sum_pv=27111375655451343, sum_v=13788898, vwap=1966174211
GOLDEN TICK: sum_pv=26981953121098077, sum_v=13723042, vwap=1966178717
GOLDEN TICK: sum_pv=26533312944929227, sum_v=13494846, vwap=1966181232
GOLDEN TICK: sum_pv=25881254918851918, sum_v=13163187, vwap=1966184550
GOLDEN TICK: sum_pv=26652865111229235, sum_v=13555616, vwap=1966186199
GOLDEN TICK: sum_pv=26980242727456581, sum_v=13722110, vwap=1966187614
GOLDEN TICK: sum_pv=26390937337253762, sum_v=13422375, vwap=1966189838
GOLDEN TICK: sum_pv=26435157208994098, sum_v=13444867, vwap=1966189565
GOLDEN TICK: sum_pv=27598600319814396, sum_v=14036612, vwap=1966186735
GOLDEN TICK: sum_pv=27748962129649379, sum_v=14113093, vwap=1966185734
GOLDEN TICK: sum_pv=26372142506489283, sum_v=13412848, vwap=1966185146
